ㅁㅗㅇㅏㅆㄷㅓㄴ	ㅁㅗㅇㅡ/VV+ㅇㅏㅆ/EP+ㄷㅓㄴ,
ㅈㅣㄴㅏㄷㅗ	ㅈㅣㄴㅏ/VV+ㅇㅏㄷㅗ,
ㅂㅐㅇㅝㅅㅓ	ㅂㅐㅇㅜ/VV+ㅇㅓㅅㅓ,
ㅅㅏㄴㄷㅏㄱㅗ	ㅅㅏㄹ/VV+ㄴㄷㅏㄱㅗ,
ㅇㅗㄻㄱㅕㄷㅏㄴㅕㅆ	ㅇㅗㄻㄱㅣ/VV+ㅇㅓ/EC+ㄷㅏㄴㅣ/VV+ㅇㅓㅆ,
ㄷㅡㄹㅓㄴㅜㅇㅜㅁㅕ	ㄷㅡㄹㅓㄴㅜㅂ/VV+ㅇㅡㅁㅕ,
‘ㅎㅔㅂㅣㄱㅡㅂㅇㅣㄷㅏ’	'/SS+ㅎㅔㅂㅣㄱㅡㅂ/NNG+ㅇㅣ/VCP+ㄷㅏ/EC+',
ㅅㅣㅋㅕㅇㅑ	ㅅㅣㅋㅣ/VV+ㅇㅓㅇㅑ,ㅅㅣㅋㅣ/VV+ㅇㅓㅇㅑ/EC+ㅎㅏ,ㅅㅣㅋㅣ/XSV+ㅇㅓㅇㅑ,
‘ㅋㅣㅁㅣㅇㅔ’	'/SS+ㅋㅣㅁㅣㅇㅔ/NNP+'/SS+ㅇㅣ,
ㅅㅣㅋㅕㅇㅛ	ㅅㅣㅋㅣ/XSV+ㅇㅓㅇㅛ,
ㅋㅣㅇㅝ	ㅋㅣㅇㅜ/VV+ㅇㅓ,
ㅎㅐㅇㅑ’)	ㅎㅏ/XSV+ㅇㅏㅇㅑ/EC+'/SS+)/SS+ㅇㅣ,
ㅈㅣㅇㅓㅈㅕ	ㅈㅣㅅ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㅇㅓ,
‘ㄱㅜㄱㅁㅣㄴ’	'/SS+ㄱㅜㄱㅁㅣㄴ/NNG+',
ㄱㅜㄹㄹㅓㅂㅘㄷㅗ	ㄱㅜㄹㅡ/VV+ㅇㅓ/EC+ㅂㅗ/VX+ㅇㅏㄷㅗ,
d	D,
ㄴㅡㄲㅕㅈㅣㄴㄷㅏ	ㄴㅡㄲㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㄴㄷㅏ,
ㄷㅏㅎㅏㄴㄷㅏ	ㄷㅏㄱㅗ/EC+ㅎㅏ/VV+ㄴㄷㅏ,
b	B,
c	C,
a	A,
o	O,
[ㅇㅐㅇㅂㅓㄹㅇㅣㄹㅏㄱㅗㅇㅛ?	[/SS+ㅇㅐㅇㅂㅓㄹㅇㅣ/NNG+ㅇㅣ/VCP+ㄹㅏㄱㅗㅇㅛ/EF+?,
ㅈㅓㅁㅈㅐㅇㅇㅣㄹㅏ	ㅈㅓㅁ/NNG+ㅈㅐㅇㅇㅣ/XSN+ㅇㅣ/VCP+ㄹㅏ,
‘綠’	'/SS+綠/SH+',
ㄱㅡㅁㅏㄴㄷㅝㅆ	ㄱㅡㅁㅏㄴㄷㅜ/VV+ㅇㅓㅆ,
